plan_time,runway,peaknew,gatenew,distance,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res
2016/2/5 7:30,35,1,157,35157,5,14,15.38906803,1,5
2016/2/5 7:30,35,0,40,3540,12,24,16.19054206,8,9
2016/2/5 7:30,34,2,146,34146,16,31,14.77510271,2,14
2016/2/5 7:30,34,2,151,34151,18,34,15.20670827,3,14
2016/2/5 7:30,34,1,171,34171,12,25,15.74491089,5,16
2016/2/5 7:35,35,2,160,35160,4,13,14.84021739,1,5
2016/2/5 7:35,34,1,22,3422,14,32,16.05856178,2,12
2016/2/5 7:35,34,2,138,34138,14,27,14.77510271,2,13
2016/2/5 7:35,34,1,172,34172,18,37,15.95051752,3,17
2016/2/5 7:40,34,1,163,34163,14,27,15.99258024,2,11
2016/2/5 7:40,34,1,136,34136,18,34,15.7391491,3,12
2016/2/5 7:40,35,1,152,35152,14,29,15.99258024,3,13
2016/2/5 7:45,34,1,155,34155,14,31,16.05856178,2,11
2016/2/5 7:45,34,0,147,34147,18,35,16.13492549,8,13
2016/2/5 7:50,35,1,119,35119,3,8,15.6351434,0,4
2016/2/5 7:50,35,1,233,35233,10,18,15.9878589,2,5
2016/2/5 7:50,35,0,68,3568,9,22,16.13127196,7,14
2016/2/5 7:50,35,1,205,35205,6,19,15.6400607,4,15
2016/2/5 7:50,34,1,227,34227,13,29,15.97334178,4,15
2016/2/5 7:50,34,1,13,3413,12,31,15.69936983,6,19
2016/2/5 7:55,34,1,44,3444,14,35,15.69936983,7,20
2016/2/5 8:00,34,1,221,34221,8,17,17.39793487,8,7
2016/2/5 8:00,35,1,235,35235,7,15,15.6689496,2,11
2016/2/5 8:00,35,1,186,35186,6,17,15.66351964,3,13
2016/2/5 8:00,34,1,148,34148,5,18,15.6400607,3,14
2016/2/5 8:00,34,1,204,34204,15,32,15.66709782,6,17
2016/2/5 8:00,34,1,116,34116,13,31,15.6351434,5,20
2016/2/5 8:05,34,0,179,34179,14,23,15.99063145,7,10
2016/2/5 8:05,35,0,203,35203,11,20,15.7925435,4,10
2016/2/5 8:10,35,0,150,35150,9,17,16.39543446,2,10
2016/2/5 8:10,34,1,200,34200,10,25,15.66709782,6,15
2016/2/5 8:15,34,0,208,34208,12,17,15.95309341,4,8
2016/2/5 8:15,34,0,167,34167,12,18,16.03250786,5,8
2016/2/5 8:20,35,0,166,35166,7,11,15.81725,3,7
2016/2/5 8:20,34,0,222,34222,22,41,16.18434588,9,18
2016/2/5 8:25,35,0,145,35145,2,10,16.21455085,4,3
2016/2/5 8:25,34,0,168,34168,10,24,16.21455085,8,8
2016/2/5 8:25,34,0,213,34213,10,19,16.31727806,3,12
2016/2/5 8:25,34,0,202,34202,13,27,16.31387724,4,13
2016/2/5 8:30,34,0,164,34164,13,24,16.18434588,7,8
2016/2/5 8:30,34,0,191,34191,19,36,16.13492549,8,15
2016/2/5 8:30,35,0,180,35180,19,35,16.4419693,5,17
2016/2/5 8:35,35,0,236,35236,10,19,16.33493202,3,8
2016/2/5 8:35,35,0,232,35232,12,27,16.17644428,7,10
2016/2/5 8:35,34,0,178,34178,15,27,16.27797112,5,14
2016/2/5 8:35,34,0,10,3410,15,29,15.98876285,8,18
2016/2/5 8:40,34,1,216,34216,5,18,17.05300191,6,10
2016/2/5 8:40,35,0,16,3516,10,19,16.31727806,3,12
2016/2/5 8:40,35,0,162,35162,15,26,16.36067208,3,13
2016/2/5 8:40,34,0,159,34159,14,23,16.11421446,6,14
2016/2/5 8:40,34,0,79,3479,18,35,16.27797112,9,18
2016/2/5 8:40,35,1,50,3550,19,38,16.59474269,14,19
2016/2/5 8:45,35,0,83,3583,9,15,16.06123099,6,8
2016/2/5 8:45,35,0,140,35140,10,20,15.98876285,3,12
2016/2/5 8:45,35,1,194,35194,11,28,17.05300191,12,14
2016/2/5 8:45,34,0,34,3434,17,33,16.13127196,8,19
2016/2/5 8:50,34,0,229,34229,11,21,15.96168421,7,10
2016/2/5 8:50,35,0,234,35234,8,17,16.16997207,7,11
2016/2/5 8:50,34,0,218,34218,10,24,16.28176678,7,12
2016/2/5 8:50,34,1,36,3436,9,24,17.05300191,9,12
2016/2/5 8:50,34,0,25,3425,11,23,16.06123099,7,14
2016/2/5 8:50,34,0,120,34120,13,24,15.97481508,8,15
2016/2/5 8:50,34,0,206,34206,15,33,16.28176678,8,16
2016/2/5 8:50,34,1,21,3421,19,41,17.41903739,25,18
2016/2/5 8:55,35,0,195,35195,10,21,16.45434234,3,11
2016/2/5 8:55,35,0,122,35122,10,24,16.28176678,7,12
2016/2/5 8:55,34,0,28,3428,13,27,16.45434234,8,15
2016/2/5 8:55,34,0,228,34228,15,29,16.53140167,7,16
2016/2/5 9:00,35,1,114,35114,4,13,16.94207589,8,9
2016/2/5 9:00,35,1,85,3585,7,16,16.71256994,8,9
2016/2/5 9:00,35,0,41,3541,10,18,16.57194323,6,9
2016/2/5 9:00,35,1,170,35170,12,24,16.67612328,10,15
2016/2/5 9:05,35,1,118,35118,11,17,16.53237463,5,7
2016/2/5 9:05,34,1,30,3430,12,18,16.53237463,8,9
2016/2/5 9:05,34,1,139,34139,9,18,16.67612328,8,11
2016/2/5 9:05,34,1,42,3442,12,28,16.89721086,12,14
2016/2/5 9:05,35,0,230,35230,15,30,16.51780523,9,15
2016/2/5 9:10,34,1,12,3412,9,23,17.39793487,10,9
2016/2/5 9:10,34,1,117,34117,7,17,16.81298557,9,11
2016/2/5 9:10,34,1,80,3480,14,35,17.18882106,15,16
2016/2/5 9:15,35,1,2,352,11,23,17.3492126,8,9
2016/2/5 9:15,34,2,115,34115,6,19,16.89403606,11,11
2016/2/5 9:15,34,1,215,34215,11,25,16.71256994,10,14
2016/2/5 9:20,35,2,67,3567,1,7,17.37785333,7,3
2016/2/5 9:25,35,1,219,35219,8,14,17.43795712,8,7
2016/2/5 9:25,34,1,143,34143,12,26,17.37046293,14,11
2016/2/5 9:30,35,2,1,351,7,14,17.38473896,8,8
2016/2/5 9:30,34,1,149,34149,11,22,17.43795712,13,11
2016/2/5 9:30,34,2,199,34199,8,20,17.34670256,16,11
2016/2/5 9:30,34,2,20,3420,12,25,17.43946754,19,12
2016/2/5 9:35,35,2,43,3543,5,11,17.43946754,6,6
2016/2/5 9:35,34,2,227,34227,9,22,17.52396621,11,12
2016/2/5 9:40,34,2,190,34190,7,15,17.57311258,9,7
2016/2/5 9:40,34,3,22,3422,11,17,17.0607767,8,9
2016/2/5 9:40,34,1,220,34220,11,22,17.52842105,12,12
2016/2/5 9:45,34,3,9,349,8,19,15.83056938,10,10
2016/2/5 9:45,34,2,217,34217,11,26,17.49388235,17,12
2016/2/5 9:45,34,2,124,34124,11,28,17.3129683,23,14
2016/2/5 9:45,34,2,111,34111,12,27,17.40904829,19,14
2016/2/5 9:50,35,2,197,35197,9,19,17.25427616,15,9
2016/2/5 9:50,34,2,116,34116,7,18,16.91326198,12,9
2016/2/5 9:50,34,3,170,34170,10,22,16.05068871,12,12
2016/2/5 9:50,34,1,59,3459,16,41,18.61857923,16,18
2016/2/5 9:55,35,2,11,3511,3,7,16.91326198,4,3
2016/2/5 9:55,34,2,202,34202,8,17,17.18374506,18,8
2016/2/5 9:55,35,3,172,35172,8,17,16.24141574,10,9
2016/2/5 9:55,34,2,181,34181,12,28,16.91326198,15,13
2016/2/5 10:00,35,3,123,35123,1,1,17.06303419,7,4
2016/2/5 10:00,34,2,26,3426,9,22,16.91326198,13,12
2016/2/5 10:05,35,1,10,3510,13,19,16.40862745,6,8
2016/2/5 10:05,35,2,169,35169,5,16,16.89403606,11,10
2016/2/5 10:10,34,3,35,3435,9,17,17.24369892,8,8
2016/2/5 10:15,34,3,114,34114,10,18,16.56094796,11,9
2016/2/5 10:15,34,3,193,34193,13,23,17.32490909,7,10
2016/2/5 10:20,35,3,201,35201,9,14,17.2308747,5,6
2016/2/5 10:20,34,3,226,34226,13,20,16.86429268,10,9
2016/2/5 10:20,34,3,19,3419,13,21,16.87214567,11,11
2016/2/5 10:25,34,3,33,3433,9,19,17.39081256,5,7
2016/2/5 10:25,34,3,223,34223,11,19,17.37184293,5,7
2016/2/5 10:25,34,3,2,342,9,19,15.48833424,7,10
2016/2/5 10:30,35,3,119,35119,3,6,16.36448894,1,3
2016/2/5 10:30,35,3,69,3569,8,14,16.77176648,3,7
2016/2/5 10:35,34,3,46,3446,9,17,16.14186173,9,9
2016/2/5 10:40,34,3,29,3429,7,17,15.91968854,10,9
2016/2/5 10:40,35,3,138,35138,10,22,15.36048518,8,10
2016/2/5 10:40,34,3,142,34142,9,21,15.65910349,8,11
2016/2/5 10:40,34,3,148,34148,9,20,16.05068871,12,11
2016/2/5 10:40,34,3,176,34176,10,21,16.24141574,11,12
2016/2/5 10:45,35,3,79,3579,4,9,15.65910349,3,6
2016/2/5 10:50,35,3,38,3538,6,12,15.21236501,6,6
2016/2/5 10:50,34,3,1,341,9,16,15.13554502,9,8
2016/2/5 10:50,34,3,146,34146,5,10,15.75870599,7,9
2016/2/5 10:50,34,3,191,34191,11,23,15.43088077,11,11
2016/2/5 10:50,35,3,112,35112,15,27,15.32124874,10,13
2016/2/5 10:55,34,1,34,3434,6,13,16.24069401,6,7
2016/2/5 10:55,35,1,230,35230,19,29,16.56103203,6,12
2016/2/5 10:55,35,0,198,35198,19,38,16.21636439,16,19
2016/2/5 11:00,35,1,150,35150,3,8,15.99075786,5,4
2016/2/5 11:00,35,3,17,3517,7,10,15.53465686,7,6
2016/2/5 11:00,34,1,30,3430,15,25,16.28269987,6,10
2016/2/5 11:00,34,3,16,3416,11,20,15.81822796,7,10
2016/2/5 11:05,34,3,231,34231,6,10,15.66663452,7,7
2016/2/5 11:05,34,1,0,340,9,19,16.35558559,7,10
2016/2/5 11:05,34,0,123,34123,12,27,16.23452675,8,12
2016/2/5 11:10,35,1,120,35120,7,10,16.54246032,2,3
2016/2/5 11:10,35,1,156,35156,10,17,16.17055556,5,5
2016/2/5 11:10,34,1,220,34220,9,13,16.40862745,3,6
2016/2/5 11:10,35,1,205,35205,14,26,16.25123004,7,12
2016/2/5 11:15,34,1,227,34227,10,17,16.17273497,6,6
2016/2/5 11:15,35,1,218,35218,15,28,16.56642567,5,12
2016/2/5 11:20,35,1,155,35155,5,10,16.28269987,2,4
2016/2/5 11:20,34,1,26,3426,12,20,16.13170732,6,8
2016/2/5 11:20,34,0,31,3431,9,20,16.5134984,11,8
2016/2/5 11:20,34,0,190,34190,9,22,16.3102091,10,11
2016/2/5 11:20,35,1,236,35236,14,27,15.98942308,9,11
2016/2/5 11:25,35,1,21,3521,10,21,16.07567454,5,9
2016/2/5 11:25,34,0,115,34115,15,31,16.88464715,12,12
2016/2/5 11:25,34,0,33,3433,13,29,17.48611929,5,18
2016/2/5 11:30,34,0,235,34235,6,14,16.87366224,6,7
2016/2/5 11:30,34,1,27,3427,8,20,16.0845447,7,8
2016/2/5 11:35,34,1,124,34124,11,26,16.0845447,8,10
2016/2/5 11:35,35,1,225,35225,14,24,16.12955895,10,11
2016/2/5 11:35,35,0,118,35118,14,31,17.51741911,8,12
2016/2/5 11:35,35,1,121,35121,18,34,16.07567454,16,17
2016/2/5 11:35,35,0,161,35161,17,36,16.21636439,15,18
2016/2/5 11:40,34,0,187,34187,10,24,16.72626343,10,11
2016/2/5 11:40,35,1,195,35195,15,29,15.98183347,9,13
2016/2/5 11:40,34,0,182,34182,16,37,17.58268264,4,18
2016/2/5 11:45,35,0,122,35122,8,19,16.72626343,10,9
2016/2/5 11:45,35,0,194,35194,18,37,17.63218569,4,18
2016/2/5 11:45,35,0,210,35210,20,40,17.66458254,5,20
2016/2/5 11:45,34,0,88,3488,29,52,16.57933785,22,22
2016/2/5 11:50,35,0,37,3537,11,19,17.28403424,7,5
2016/2/5 11:50,34,0,152,34152,14,27,16.87366224,9,12
2016/2/5 11:50,34,0,111,34111,14,30,16.86909774,12,13
2016/2/5 11:50,34,0,52,3452,18,38,16.88464715,16,14
2016/2/5 11:50,35,0,212,35212,22,42,16.84605457,14,17
2016/2/5 11:55,35,0,234,35234,14,26,17.13129549,10,8
2016/2/5 11:55,35,0,228,35228,19,36,17.42984569,9,15
2016/2/5 11:55,35,0,202,35202,25,48,17.42984569,9,20
2016/2/5 12:00,34,0,222,34222,15,26,17.04757741,10,10
2016/2/5 12:00,34,0,140,34140,16,31,17.28403424,9,11
2016/2/5 12:00,35,0,65,3565,18,31,17.18623108,11,11
2016/2/5 12:00,34,0,15,3415,13,29,17.55086727,7,12
2016/2/5 12:00,34,0,53,3453,14,30,17.66979284,6,14
2016/2/5 12:00,35,0,136,35136,13,30,17.60398029,4,16
2016/2/5 12:00,34,1,120,34120,16,32,18.35427589,12,18
2016/2/5 12:00,35,0,168,35168,31,56,17.04757741,12,24
2016/2/5 12:05,35,0,141,35141,9,19,17.60949635,1,9
2016/2/5 12:05,34,0,200,34200,10,26,17.68380443,3,11
2016/2/5 12:05,34,0,199,34199,14,29,17.51741911,8,11
2016/2/5 12:05,35,0,237,35237,9,20,18.1282433,9,13
2016/2/5 12:05,34,1,23,3423,18,40,18.56082103,15,17
2016/2/5 12:10,34,0,35,3435,17,36,17.66979284,6,16
2016/2/5 12:10,34,0,171,34171,21,42,17.59740406,6,19
2016/2/5 12:10,34,0,14,3414,14,36,17.66816743,10,19
2016/2/5 12:15,34,0,204,34204,16,33,17.68380443,3,16
2016/2/5 12:15,34,0,223,34223,16,35,17.60990854,4,17
2016/2/5 12:15,34,0,32,3432,13,32,17.98224456,11,17
2016/2/5 12:15,35,0,185,35185,14,35,17.74668271,10,20
2016/2/5 12:15,34,0,18,3418,21,45,17.63218569,4,23
2016/2/5 12:20,35,2,12,3512,2,4,18.69607177,3,0
2016/2/5 12:20,34,1,169,34169,14,27,18.45853558,11,13
2016/2/5 12:20,34,0,226,34226,14,34,17.58268264,3,16
2016/2/5 12:20,35,0,203,35203,15,29,17.51838866,4,17
2016/2/5 12:20,34,0,193,34193,25,57,17.80979381,16,26
2016/2/5 12:25,34,1,184,34184,18,39,18.38482205,17,18
2016/2/5 12:25,34,1,149,34149,18,40,18.22642074,12,18
2016/2/5 12:25,34,0,29,3429,18,38,17.48611929,6,20
2016/2/5 12:30,35,0,220,35220,12,22,17.6237234,3,13
2016/2/5 12:35,35,1,11,3511,6,11,18.38482205,6,7
2016/2/5 12:35,35,1,116,35116,5,15,18.08575788,3,9
2016/2/5 12:35,34,1,233,34233,14,35,18.22642074,10,16
2016/2/5 12:35,35,0,56,3556,14,36,17.66816743,10,19
2016/2/5 12:35,34,0,20,3420,16,40,17.66816743,10,21
2016/2/5 12:40,35,2,218,35218,5,14,19.458901,7,9
2016/2/5 12:40,34,1,114,34114,15,37,18.61857923,15,16
2016/2/5 12:45,35,0,113,35113,3,5,18.10091743,1,4
