plan_time,runway,peaknew,gatenew,NewPushA,NewPushBa,NewPushoutB,append2_res,append1_res,
32400,35,2,98,4,7,17.38192363,1,1,
32400,35,1,143,6,16,17.39976162,12,10,
32400,35,1,84,11,20,17.05300191,14,10,
32400,35,1,38,13,29,17.06759969,18,16,
32700,35,0,19,6,13,16.53140167,5,4,
32700,34,1,154,5,17,17.4414963,7,10,
32700,35,1,216,12,21,16.52650293,11,13,
32700,34,1,26,11,25,17.18882106,18,13,
33000,34,1,24,8,19,17.18882106,8,7,
33000,34,1,17,8,22,17.40004134,13,13,
33000,34,1,119,11,24,17.33956471,14,13,
33300,35,1,81,6,14,17.39976162,11,7,
33300,34,1,222,10,23,17.39793487,15,13,
33300,34,2,86,18,40,17.40904829,22,19,
33600,35,1,67,16,30,16.94207589,17,16,
33900,35,1,237,7,20,17.40004134,13,13,
33900,34,1,124,9,28,17.40004134,14,16,
34200,35,2,111,7,13,17.18374506,7,4,
34200,34,0,160,7,13,16.3102091,12,7,
34200,34,2,190,12,23,17.34072212,10,10,
34500,34,2,236,12,25,17.43946754,10,7,
34500,35,1,44,6,17,17.39976162,12,10,
34800,34,2,168,15,31,17.43946754,16,10,
34800,34,1,140,10,28,17.4414963,12,13,
34800,34,2,225,13,26,16.91326198,20,13,
35100,34,2,207,14,23,17.3129683,15,7,
35100,34,2,116,14,28,17.43946754,10,10,
35100,34,2,0,18,37,17.25427616,24,16,
35400,34,2,150,13,26,17.37785333,17,13,
35400,34,3,42,8,22,16.92884109,16,13,
35400,35,2,194,10,26,16.87295711,19,13,
35700,35,2,148,5,11,16.89403606,9,7,
35700,34,2,217,11,20,17.45684159,12,7,
35700,34,2,226,8,19,17.06276439,13,10,
35700,35,2,172,10,21,17.18374506,16,10,
36000,35,2,228,5,16,16.87295711,13,10,
36000,34,2,12,12,27,16.89403606,19,16,
36300,35,3,22,8,12,15.21190865,5,7,
36300,35,2,200,8,21,16.8329328,19,10,
36600,34,3,120,8,23,17.06303419,15,13,
36900,34,3,192,9,17,17.32490909,11,10,
36900,34,3,20,10,18,17.37184293,14,13,
37200,35,3,201,3,7,17.2308747,6,7,
37200,34,3,229,7,13,17.2308747,9,10,
37200,34,3,19,11,23,15.13554502,10,10,
37500,34,3,114,7,14,16.77176648,10,7,
37500,34,3,115,7,15,17.17389444,9,10,
37500,34,3,202,11,21,17.35733902,13,13,
37800,35,3,157,3,7,16.05068871,6,4,
37800,34,3,71,11,25,17.07993114,18,16,
38100,35,3,16,7,13,15.71811594,9,7,
38100,34,3,170,7,16,16.50172144,11,7,
38400,34,3,23,5,12,16.50172144,7,4,
38400,34,1,24,5,12,16.65081534,2,7,
38400,34,3,113,9,18,16.14186173,12,10,
38400,34,3,182,7,17,16.36448894,13,10,
38400,35,3,121,12,20,15.83783632,15,10,
38700,35,3,79,8,13,15.48833424,8,4,
39000,35,3,112,9,16,15.17930295,7,7,
39000,34,3,191,10,17,15.65910349,10,7,
39000,34,3,195,9,17,15.58537378,9,7,
39000,34,3,146,11,18,15.21236501,9,7,
39000,35,1,18,7,15,16.55324675,3,10,
39300,35,3,161,12,21,15.13876464,10,10,
39300,34,3,34,10,21,15.66663452,8,10,
39300,35,3,198,10,21,15.24795443,7,10,
39600,35,1,27,4,10,16.55324675,3,4,
39600,35,3,117,5,14,15.32124874,5,7,
39600,34,1,17,6,12,16.28269987,5,7,
39600,34,3,141,11,23,15.13554502,10,13,
39900,34,1,235,7,12,15.99075786,6,4,
39900,34,1,28,10,21,16.24069401,6,10,
39900,34,0,0,16,28,16.84235561,6,13,
40200,35,1,159,7,13,16.12955895,5,4,
40200,35,1,35,9,19,16.43855634,7,10,
40200,35,1,136,10,23,16.58131868,7,13,
40200,34,1,38,12,24,16.05760073,7,13,
40500,34,1,205,6,14,16.20477419,5,7,
40500,35,1,224,9,20,16.35558559,4,10,
40800,35,1,234,11,18,16.07567454,12,7,
40800,35,1,111,5,10,16.43855634,5,7,
40800,34,1,119,9,19,16.20477419,8,10,
40800,34,0,15,13,25,16.8691306,7,10,
40800,34,0,169,13,30,16.9073017,6,13,
41100,35,0,140,4,11,16.5134984,8,4,
41100,34,2,153,6,10,18.65496559,11,7,
41100,34,1,1,10,18,15.98183347,10,7,
41400,34,0,11,8,15,16.3102091,14,7,
41400,34,0,215,12,23,16.79761252,9,10,
41700,35,0,149,9,14,16.22668309,14,7,
41700,34,1,118,9,16,16.1320442,8,7,
41700,35,0,213,12,27,16.91285501,5,10,
41700,35,0,151,12,23,17.65166163,7,13,
41700,35,0,138,17,27,16.22668309,18,13,
42000,35,0,147,2,6,16.79761252,6,4,
42000,34,0,214,12,20,16.34157442,13,10,
42000,34,0,222,15,26,16.49168019,14,10,
42300,34,0,156,10,18,16.5134984,9,7,
42300,35,0,197,13,25,19.19674892,10,13,
42300,35,0,154,15,32,16.83805442,7,16,
42600,35,0,231,8,17,16.91285501,3,7,
42600,35,0,29,10,19,17.71777778,3,10,
42600,35,0,223,11,20,17.63218569,2,10,
42600,34,0,50,12,29,17.60990854,9,13,
42600,34,0,203,12,25,17.28403424,7,16,
42900,35,0,228,5,13,16.84605457,3,4,
42900,35,0,236,9,20,16.95716892,3,7,
42900,35,0,232,8,20,17.8415088,9,10,
43200,34,0,143,8,20,17.04757741,3,7,
43200,34,0,53,10,23,16.91285501,3,10,
43200,34,0,10,12,21,17.7077534,5,13,
43200,35,3,121,12,23,15.80460022,1,13,
43200,35,0,66,15,31,16.91285501,6,13,
43200,35,0,168,13,28,17.33478588,7,16,
43200,34,0,122,15,32,17.66458254,6,16,
43500,34,0,221,6,13,17.65166163,6,7,
43500,35,0,237,8,15,17.62471028,6,10,
43500,35,0,139,10,19,17.68380443,4,10,
43500,34,0,190,10,24,17.6237234,10,10,
43500,34,0,26,12,28,17.88528226,10,13,
43800,34,1,209,6,15,18.08575788,8,10,
43800,34,0,218,9,21,17.33478588,6,10,
43800,34,0,36,11,24,17.62471028,7,13,
43800,34,1,25,8,22,18.41021234,7,13,
44100,34,0,229,9,17,17.66305855,1,10,
44100,34,0,171,8,20,17.8415088,9,10,
44100,35,0,211,8,20,17.61490015,1,10,
44100,34,0,23,10,22,17.61490015,2,10,
44100,34,0,150,13,31,17.60990854,10,16,
44400,35,0,9,11,17,18.26050309,5,4,
44400,35,0,30,4,11,19.19009434,9,4,
44400,34,1,225,5,13,18.69291429,8,7,
44400,34,1,194,8,20,18.08575788,8,10,
44400,35,0,207,11,23,17.61490015,3,13,
44400,34,2,169,7,21,19.52360989,7,13,
44700,34,0,167,5,13,17.60990854,1,4,
44700,34,1,152,12,17,18.45853558,5,7,
44700,34,0,230,8,17,17.48611929,6,10,
44700,34,0,155,14,23,18.23723958,4,10,
45000,35,0,226,6,16,17.6237234,7,7,
45300,35,1,114,4,9,18.34655405,3,4,
45300,35,0,45,8,15,18.56063626,3,7,
45300,35,0,12,8,20,18.03663934,2,7,
45300,34,1,116,5,12,18.59866617,7,7,
45300,34,0,233,7,17,17.582185,3,10,
45300,35,0,56,10,24,17.6237234,10,10,
45600,35,1,112,6,14,18.61857923,6,7,
45600,34,1,32,6,19,18.45616534,8,10,
45900,34,0,41,9,20,18.10091743,2,7,
45900,34,1,202,5,14,18.45616534,4,7,
45900,35,1,146,7,18,18.38482205,6,10,
46200,35,1,235,4,9,18.59866617,6,4,
46200,34,2,191,11,23,18.4512301,23,10,
46200,34,0,205,12,24,18.1282433,5,10,
46200,34,0,33,13,28,18.1282433,7,13,
46500,34,1,210,11,20,18.69291429,9,10,
46500,34,0,212,15,29,18.24838088,8,13,
46800,35,2,201,5,10,18.54483902,6,1,
46800,34,0,161,11,15,18.26050309,5,4,
46800,35,1,227,11,16,18.45412157,5,7,
46800,34,0,31,13,20,18.23723958,4,7,
46800,34,0,19,17,34,18.07755102,12,16,
47100,34,1,136,15,22,18.36162233,5,7,
47100,34,0,13,13,28,18.07755102,4,13,
47400,35,0,20,10,17,18.23723958,3,7,
47700,34,0,224,5,14,18.1282433,3,4,
47700,34,0,200,11,23,18.03663934,3,13,
47700,34,0,199,15,34,18.79109723,12,13,
48000,35,0,113,3,10,18.56063626,3,7,
48000,35,0,151,10,26,19.23645914,9,13,
48000,35,0,236,14,29,18.32114198,9,13,
48000,34,0,168,15,29,19.19674892,11,16,
48000,34,2,206,8,21,19.57070064,8,16,
48300,35,2,171,8,23,19.55758487,7,13,
48300,34,0,34,16,34,18.95797956,12,16,
48600,35,0,230,10,22,19.19009434,10,10,
48600,35,2,121,9,24,19.28363493,7,13,
48600,34,2,198,9,23,19.36474536,4,13,
48600,34,0,220,14,32,18.56063626,12,13,
48600,34,0,14,15,32,18.84359177,12,13,
48900,34,0,234,8,22,19.23645914,9,10,
48900,34,2,231,8,20,19.52404394,3,13,
48900,35,2,172,8,20,19.52404394,5,13,
