plantime,runway,airline,destination,REG,peak,gate,cat,distance,meantime_taxi_number,mean_taxi_time,land_takeoff_number,time
2016/5/6 7:50,16,39,233,2788,9,121,8,16121,16,15.87918822,6,7.8
2016/5/6 7:55,16,38,235,601,9,120,25,16120,28,15.64341116,5,15.2
2016/5/6 7:55,16,39,241,2338,9,152,8,16152,18,15.87918822,14,11.1
2016/5/6 7:55,16,36,100,2996,9,225,13,16225,17,15.6689496,10,9.5
2016/5/6 7:55,16,46,155,563,9,183,8,16183,18,15.9878589,8,8.5
2016/5/6 8:00,17,26,220,2083,9,108,7,17108,31,15.89769392,14,18.3
2016/5/6 8:00,16,39,161,1985,9,203,8,16203,29,15.6400607,12,15.2
2016/5/6 8:00,17,46,128,2627,9,235,8,17235,24,15.6351434,11,12.6
2016/5/6 8:05,17,46,188,2340,9,219,8,17219,48,15.89426058,20,23.3
2016/5/6 8:05,17,93,122,185,9,197,43,17197,31,15.80857488,7,17.4
2016/5/6 8:05,16,34,102,797,9,216,8,16216,13,15.66709782,16,7.5
2016/5/6 8:10,17,46,156,771,9,171,8,17171,51,15.81725,24,27
2016/5/6 8:10,17,22,176,2760,9,233,8,17233,23,15.92961266,12,16
2016/5/6 8:10,16,34,47,798,9,205,8,16205,20,15.69779028,10,11.1
2016/5/6 8:10,17,26,181,2451,9,19,9,1719,13,15.81734652,10,9.4
2016/5/6 8:15,17,115,152,1204,4,174,28,17174,46,16.31387724,25,24.6
2016/5/6 8:15,17,30,152,637,9,185,25,17185,46,16.09011964,18,22.2
2016/5/6 8:15,17,26,131,2277,9,3,8,173,36,16.10990366,17,20.5
2016/5/6 8:15,16,46,241,765,9,220,8,16220,21,16.11421446,17,13.3
2016/5/6 8:20,17,46,169,2430,9,221,8,17221,55,16.13492549,11,24.1
2016/5/6 8:20,16,46,100,2449,9,214,8,16214,21,16.21455085,20,10.4
2016/5/6 8:20,16,34,49,2368,9,213,8,16213,16,16.35340952,7,8.7
2016/5/6 8:25,16,12,71,3689,9,208,49,16208,20,16.18434588,5,9.9
2016/5/6 8:25,16,46,50,2296,9,224,8,16224,14,16.37025204,5,8.3
2016/5/6 8:25,16,34,50,2431,9,191,8,16191,11,16.20988722,8,7.6
2016/5/6 8:30,35,26,198,2314,10,75,8,3575,51,17.34670256,13,42.9
2016/5/6 8:30,17,22,181,709,9,226,9,17226,51,16.33493202,12,28.6
2016/5/6 8:30,17,22,133,2418,9,156,8,17156,34,16.35340952,9,18.3
2016/5/6 8:30,16,39,76,2205,9,145,8,16145,27,16.27797112,15,12.7
2016/5/6 8:30,16,26,240,756,9,8,8,168,25,16.31387724,35,10.2
2016/5/6 8:30,17,26,198,2317,10,40,8,1740,11,17.21455865,19,10.1
2016/5/6 8:30,16,46,235,2638,9,231,9,16231,20,16.17644428,28,10.1
2016/5/6 8:35,17,26,132,2045,9,195,8,17195,49,16.28428468,25,28.3
2016/5/6 8:35,17,46,181,2280,9,236,8,17236,37,16.35340952,7,19.2
2016/5/6 8:35,17,26,222,2665,9,20,7,1720,42,16.2396915,20,18.8
2016/5/6 8:35,16,1,76,3420,9,192,13,16192,11,16.28428468,20,7.3
2016/5/6 8:40,17,46,216,2595,9,227,9,17227,60,16.20182665,30,31.9
2016/5/6 8:40,16,26,214,2634,9,22,8,1622,20,16.36643009,6,11.3
2016/5/6 8:40,16,65,100,2820,9,194,13,16194,14,16.31727806,7,6
2016/5/6 8:45,34,38,210,1066,9,79,25,3479,27,17.18882106,28,22.7
2016/5/6 8:45,16,26,78,2419,9,11,9,1611,37,16.31727806,20,18.4
2016/5/6 8:45,16,34,68,520,9,207,8,16207,18,16.3333578,4,6.4
2016/5/6 8:50,17,46,206,2469,9,229,8,17229,49,16.06123099,14,25.5
2016/5/6 8:50,16,72,76,3405,9,148,42,16148,43,16.44125899,19,23.5
2016/5/6 8:50,16,26,72,456,9,113,8,16113,22,16.28428468,18,13.7
2016/5/6 8:55,17,38,106,850,9,28,25,1728,45,16.49636564,11,24.6
2016/5/6 8:55,35,26,224,939,9,42,8,3542,12,17.34056225,7,16.1
2016/5/6 8:55,16,26,190,562,9,118,9,16118,18,16.37025204,20,13
2016/5/6 8:55,16,38,241,1475,9,201,25,16201,22,16.06157098,22,12.1
2016/5/6 9:00,17,26,127,670,9,0,9,170,47,16.52768444,8,29.8
2016/5/6 9:00,16,69,48,3643,9,35,40,1635,31,16.55064504,9,19.4
2016/5/6 9:00,16,39,240,692,10,182,8,16182,21,16.52768444,19,11.1
